Countries and areas,ISO Code,Year,Use of drinking water sources (%),,,,,,,,,,,,,,,
Algeria,DZA,1990,97,87,10,3,0,85,47,38,13,2,91,67,24,8,1,
Anguilla,AIA,1990,-,-,-,-,-,,,,,,-,-,-,-,-,
Aruba,ABW,1990,-,-,-,-,-,-,-,-,-,-,91,90,1,9,0,
Bahamas,BHS,1990,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Belarus,BLR,1990,100,-,-,0,0,99,-,-,1,0,99,-,-,1,0,
Bermuda,BMU,1990,-,-,-,-,-,,,,,,-,-,-,-,-,
Botswana,BWA,1990,100,40,60,0,0,87,9,78,5,8,92,22,70,3,5,
Bulgaria,BGR,1990,100,96,4,0,0,100,66,34,0,0,100,86,14,0,0,
Cameroon,CMR,1990,78,25,53,20,2,34,2,32,44,22,51,11,40,35,14,
Central African Republic,CAF,1990,80,8,72,18,2,46,0,46,35,19,59,3,56,28,13,
Colombia,COL,1990,97,95,2,3,0,69,38,31,14,17,88,77,11,6,6,
Costa Rica,CRI,1990,99,93,6,1,0,87,72,15,5,8,93,83,10,3,4,
Cyprus,CYP,1990,100,100,0,0,0,100,100,0,0,0,100,100,0,0,0,
Denmark,DNK,1990,100,100,0,0,0,100,100,0,0,0,100,100,0,0,0,
Ecuador,ECU,1990,84,76,8,15,1,61,38,23,21,18,74,59,15,17,9,
Eritrea,ERI,1990,65,41,24,35,0,44,0,44,38,18,47,7,40,38,15,
Finland,FIN,1990,100,97,3,0,0,100,85,15,0,0,100,94,6,0,0,
Gabon,GAB,1990,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Ghana,GHA,1990,84,41,43,8,8,39,2,37,11,50,56,16,40,9,35,
Guadeloupe,GLP,1990,98,98,0,2,-,100,100,0,0,0,98,98,0,2,-,
Guinea-Bissau,GNB,1990,47,14,33,53,0,32,0,32,63,5,36,4,32,60,4,
Hungary,HUN,1990,98,94,4,2,0,92,73,19,8,0,96,87,9,4,0,
Iran (Islamic Republic of),IRN,1990,99,97,2,1,0,84,67,17,12,4,92,84,8,6,2,
Italy,ITA,1990,100,100,0,0,0,100,97,3,0,0,100,99,1,0,0,
Kazakhstan,KAZ,1990,97,85,12,3,0,90,24,66,6,4,94,58,36,4,2,
Kyrgyzstan,KGZ,1990,96,80,16,3,1,62,22,40,9,29,75,44,31,6,19,
Lesotho,LSO,1990,93,26,67,7,0,75,2,73,23,2,77,6,71,21,2,
Luxembourg,LUX,1990,100,100,0,0,0,100,98,2,0,0,100,100,0,0,0,
Maldives,MDV,1990,100,50,50,0,0,91,0,91,9,0,93,13,80,7,0,
Martinique,MTQ,1990,-,-,-,-,-,100,-,-,0,0,-,-,-,-,-,
Micronesia (Fed. States of),FSM,1990,94,-,-,3,3,90,-,-,2,8,91,-,-,2,7,
Montserrat,MSR,1990,-,-,-,-,-,-,-,-,-,-,97,91,6,3,-,
Namibia,NAM,1990,99,82,17,1,0,58,13,45,31,11,70,32,38,22,8,
New Caledonia,NCL,1990,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Nigeria,NGA,1990,76,32,44,18,6,25,3,22,25,50,40,12,28,23,37,
Oman,OMN,1990,83,30,53,13,4,70,3,67,20,10,79,21,58,15,6,
Papua New Guinea,PNG,1990,87,61,26,7,6,24,4,20,27,49,34,12,22,23,43,
Poland,POL,1990,99,98,1,1,0,87,77,10,13,0,94,90,4,6,0,
Republic of Korea,KOR,1990,97,96,1,3,0,-,-,-,-,-,-,-,-,-,-,
Russian Federation,RUS,1990,98,87,11,2,0,82,33,49,17,1,93,73,20,7,0,
Saint Vincent and the Grenadines,VCT,1990,-,-,-,-,-,-,-,-,-,-,88,52,36,12,-,
Saudi Arabia,SAU,1990,-,-,-,-,-,-,-,-,-,-,92,58,34,8,-,
Sierra Leone,SLE,1990,70,16,54,23,7,20,1,19,24,56,37,6,31,23,40,
Solomon Islands,SLB,1990,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Sri Lanka,LKA,1990,92,37,55,8,0,63,7,56,28,9,68,12,56,25,7,
Swaziland,SWZ,1990,86,67,19,6,8,25,4,21,18,57,39,18,21,16,45,
Tajikistan,TJK,1990,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Togo,TGO,1990,79,14,65,20,1,35,0,35,36,29,48,4,44,31,21,
Tunisia,TUN,1990,96,90,6,4,0,64,20,44,34,2,83,60,23,16,1,
Tuvalu,TUV,1990,92,92,0,8,-,89,89,0,11,-,90,90,0,10,-,
United Kingdom,GBR,1990,100,100,0,0,0,100,98,2,0,0,100,100,0,0,0,
Uruguay,URY,1990,98,95,3,2,0,70,49,21,28,2,95,90,5,5,0,
Viet Nam,VNM,1990,90,43,47,4,6,56,0,56,26,18,63,9,54,21,16,
Zimbabwe,ZWE,1990,100,98,2,0,0,71,7,64,17,12,79,33,46,13,8,
Eastern Asia,,1990,97,79,18,2,1,56,11,45,35,9,68,30,38,25,7,
South Eastern Asia,,1990,90,42,48,7,3,63,5,58,25,12,72,17,55,19,9,
Caucasus and Central Asia,,1990,95,83,12,4,1,79,29,50,11,10,87,54,33,8,5,
World,,1990,95,79,16,4,1,62,18,44,27,11,76,44,32,17,7,
Suggested citation: ,,WHO/UNICEF (2015) Progress on Sanitation and Drinking Water: 2015 Update,,,,,,,,,,,,,,,,
